GPCD,Tem,Pre,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,Year,Byear,Month,Q1,Q2,Q3
170.7330034,35.85185,0.60632,0,0,0,0,0,0,1,0,0,0,0,0,2009,2009,7,0,1,0
176.5269191,28.7276,0.04097,0,0,0,0,0,0,0,1,0,0,0,0,2009,2009,8,0,1,0
161.95654,25.96296,0.11007,0,0,0,0,0,0,0,0,1,0,0,0,2009,2009,9,0,0,1
150.3259629,17.4552,0.24581,0,0,0,0,0,0,0,0,0,1,0,0,2009,2009,10,0,0,1
134.8592201,18.88889,1.778,0,0,0,0,0,0,0,0,0,0,1,0,2009,2009,11,0,0,1
115.8521135,22.15054,0.31135,0,0,0,0,0,0,0,0,0,0,0,1,2009,2009,12,0,0,0
110.3179606,27.92593,0.27858,1,0,0,0,0,0,0,0,0,0,0,0,2010,2010,1,0,0,0
104.4042429,18.27778,1.7145,0,1,0,0,0,0,0,0,0,0,0,0,2010,2010,2,0,0,0
111.9901359,22.22222,0.42606,0,0,1,0,0,0,0,0,0,0,0,0,2010,2010,3,1,0,0
132.6632955,26.83333,0.19473,0,0,0,1,0,0,0,0,0,0,0,0,2010,2010,4,1,0,0
154.069246,32.33333,0.01639,0,0,0,0,1,0,0,0,0,0,0,0,2010,2010,5,1,0,0
182.4848536,38.55556,0,0,0,0,0,0,1,0,0,0,0,0,0,2010,2010,6,0,1,0
175.3758183,37.88889,2.22045,0,0,0,0,0,0,1,0,0,0,0,0,2010,2010,7,0,1,0
157.654873,37,1.67148,0,0,0,0,0,0,0,1,0,0,0,0,2010,2010,8,0,1,0
156.8134292,36.72222,0.59267,0,0,0,0,0,0,0,0,1,0,0,0,2010,2010,9,0,0,1
139.8072579,30.05556,0.3769,0,0,0,0,0,0,0,0,0,1,0,0,2010,2010,10,0,0,1
129.2083785,22.66667,0,0,0,0,0,0,0,0,0,0,0,1,0,2010,2010,11,0,0,1
114.9694913,21.66667,0.3769,0,0,0,0,0,0,0,0,0,0,0,1,2010,2010,12,0,0,0
114.4817294,19.44444,0,1,0,0,0,0,0,0,0,0,0,0,0,2011,2011,1,0,0,0
122.1417601,19.38889,0.22679,0,1,0,0,0,0,0,0,0,0,0,0,2011,2011,2,0,0,0
129.2162904,26.72222,0.01639,0,0,1,0,0,0,0,0,0,0,0,0,2011,2011,3,1,0,0
140.4320347,29.22222,0.23707,0,0,0,1,0,0,0,0,0,0,0,0,2011,2011,4,1,0,0
156.0417354,31.55556,0,0,0,0,0,1,0,0,0,0,0,0,0,2011,2011,5,1,0,0
178.3953522,39.44444,0.0254,0,0,0,0,0,1,0,0,0,0,0,0,2011,2011,6,0,1,0
158.885991,38,1.34374,0,0,0,0,0,0,1,0,0,0,0,0,2011,2011,7,0,1,0
157.8988668,38.5,1.10613,0,0,0,0,0,0,0,1,0,0,0,0,2011,2011,8,0,1,0
143.4671792,35.38889,4.74133,0,0,0,0,0,0,0,0,1,0,0,0,2011,2011,9,0,0,1
139.0055836,31.33333,0.04916,0,0,0,0,0,0,0,0,0,1,0,0,2011,2011,10,0,0,1
117.0038892,21.94444,0.82127,0,0,0,0,0,0,0,0,0,0,1,0,2011,2011,11,0,0,1
102.8695003,15.77778,1.66329,0,0,0,0,0,0,0,0,0,0,0,1,2011,2011,12,0,0,0
